OrderID,ProductID,Quantity,UnitPrice,Discount
1490dbff-1917-4ab6-b829-9787a9b10275,30431e11-c98f-4580-adf0-5dd963527717,1,948,52
6cc6ee29-2a1f-40cd-9fd8-f5dffe816585,02c7c358-da33-4586-8e32-5e459b7394fc,4,458,12
de651e00-37a6-46b3-9799-04a1e727a467,145239de-d250-4d51-b078-eaa3090c0db7,1,448,75
f844106e-171e-45d4-8e65-f258fd4a29c6,890fe14c-925f-417e-8100-3962a83656d9,3,413,22
4724a279-f601-4ddc-8064-f88ee775d470,377e5882-217f-44b0-820e-ab04ae484ce5,8,262,38
64838229-00a8-42c6-a26c-2a14824fee50,0219aafa-5dbc-4d92-acd9-8a78b4158651,7,8,2
68bd0508-d681-4fc2-b9e7-c027ba721764,317de63c-5e28-420f-8216-adfcdef82939,4,429,67
fde152c6-476e-41af-9388-557fcfae11bf,5ea56bc5-5063-4d3c-838c-cd61506fa9de,2,547,16
bd9a1055-2642-4b2e-80fa-b31d02af6067,1da81cda-9793-4527-b561-5db0cfd9608a,4,295,70
542e15f0-2eff-4da4-8ee8-65eb807b1721,30bb25e4-84ce-45bc-b682-d5216503ae80,2,515,76
47dbd2fc-08dc-4fa3-907d-ec54a681df95,9f052469-fc14-42fc-abea-80562c192951,3,93,79
f9f000cb-34b1-4acb-a312-5c0288e024b3,6063dc9a-5074-4753-9823-edff3ef500bb,5,402,19
97238820-c65e-4e09-8e4a-54f6e067e9a9,4e05a563-b887-48d1-b7ea-8a884851b047,7,71,91
882f14a3-3a9f-4b63-a35a-2083e9af6544,1dbc4abf-fe1f-44f1-be35-d63dd56e8261,10,51,20
16381d74-440a-4926-a1e5-c8d1c2fee9d6,79aafebe-36bf-43f2-8278-c795a1dc37eb,6,468,24
9b6fcf4b-e023-4926-97e4-29fbd125dd9d,46c2e05c-1974-4783-90b9-a5b3885ce53e,2,427,85
708e8320-884b-4b68-83f9-56f42b0ae211,6d26d138-47e1-4082-a20f-8ea8424ac57e,3,454,91
d4d484c1-caf0-44a8-9ade-537bc8c61a16,80ef3b8b-7c57-4a42-8b90-39166c8b8af6,2,361,46
c9e4a7fb-41de-4d13-8d0a-d148c5322b44,0629219f-2176-40d7-8765-4aa1024cf4ac,2,135,56
12fa3c92-87fb-495a-a8ca-db073541515d,2713e7d5-53ea-44d7-a87d-92cb595911b1,4,259,41
c1a062fe-c834-44eb-978f-b58c4f723523,c3bce55b-643e-4259-9011-f4d520cf29da,5,241,7
321a0667-7362-4eaf-8ccc-3923a0d92c9a,0d5eb025-1830-4bc1-9783-ea5680bf774b,1,732,65
bc6c8a17-a92e-4045-a2ea-750815b80ba9,7809f5c4-72a8-40e6-b484-236086c3c600,6,806,93
40e89067-6f5e-4667-8eba-9ceb56e081ec,a56657aa-5438-46cd-9192-b1b0ef727b7a,7,129,64
30edbd97-c4b2-486b-8d22-0fc6341fb37c,65f6c464-8fff-43af-866c-f1d7ae8503e7,8,559,24
57ab1396-ccad-45b8-a589-f4b9b1ec20fa,883e8e8f-f279-4112-b223-e3ef5add761a,8,525,90
4dcdcb2f-8d07-4231-a4ae-a5cf7bb1f2ac,1e9986fe-24de-4262-b900-aadd11589754,3,547,74
10a6efd6-5ca0-41c7-9007-f3af8b8b7e26,1034fbb7-fdce-49e2-9230-98af72d7fa15,1,902,64
7deaf872-f942-4f79-bb88-3f7717e24665,eb9ce5ad-14c3-4786-aa1d-527216e10e3d,4,417,63
02b81ea9-4025-475f-81df-172e71b76daf,c87bec59-4106-4fa2-b666-9eede116a80b,10,211,82
a30f5cf3-d906-4e02-8569-30a7d94ef16e,886283ae-07ef-46b5-92d0-a573b567a0ec,7,30,32
2d2b7d77-e760-4f88-ac7f-a8c6da548e66,251aad65-afe5-40ec-add5-f9c9b549a6f0,2,666,87
bef6dfce-c7b7-4c95-8feb-1a316ba12001,e3ae8558-19e4-4d01-959d-2f46e485bded,10,923,40
5fe86f37-3fc7-4a0f-9d7f-88b7103cbf1d,cac0292b-104d-4346-b01b-2e845c398881,2,478,99
c741def4-f7ca-4a30-a7f7-7864966a5257,9d7863e9-24aa-49b8-bebd-66f55ef57c4c,3,307,58
bbf997af-530a-4a8b-9007-689d2e194b91,9b29140e-246a-47aa-af80-f6b80b3fca47,5,292,56
29c1799f-335a-4891-981a-6434a71a4095,fbba7896-1020-4e80-8b5f-cb09af9e16aa,5,582,7
